Account,timestamp,daily_pnl,net_daily_pnl,trades_per_day,avg_trade_size,win_rate,long_ratio,total_fees,classification,activity_segment,volatility_segment_x,volatility_segment_y,volatility_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.900056,-328618.795706,462,14810.891818181817,0.025974025974025976,0.0,1112.89565,Greed,High Activity,High Volatility,High Volatility,High Volatility
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.720035,1921443.303381,3356,16345.241939809297,0.40554231227651966,0.0,6292.416654,Fear,High Activity,High Volatility,High Volatility,High Volatility
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.446093000002,20405.27894192,320,2492.74990625,0.53125,0.0,202.16715108,Greed,High Activity,Low Volatility,Low Volatility,Low Volatility
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.727055,15433.81238538,3533,1693.3516841211435,0.43504104160769885,0.0,1664.91466962,Fear,High Activity,Low Volatility,Low Volatility,Low Volatility
0x271b280974205ca63b716753467d5a371de622ab,2024-07-03,-1.0,-11.197932000000002,5,6070.2,0.0,0.0,10.197932,Neutral,Low Activity,Low Volatility,Low Volatility,Low Volatility
0x271b280974205ca63b716753467d5a371de622ab,2024-10-27,1793.1602149999999,1758.4981639999999,5,31941.660000000003,0.8,0.0,34.662051,Greed,Low Activity,Low Volatility,Low Volatility,Low Volatility
0x271b280974205ca63b716753467d5a371de622ab,2025-02-19,29970.928216,26326.73116,1136,10836.90096830986,0.43045774647887325,0.0,3644.197056,Fear,Low Activity,Low Volatility,Low Volatility,Low Volatility
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-10-27,121880.386016,120801.0892227,6472,483.5901143386898,0.4437577255871446,0.0,1079.2967933,Greed,High Activity,High Volatility,High Volatility,High Volatility
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2025-02-19,10435.095669,9297.5682108491,6794,533.2378127759788,0.4327347659699735,0.0,1137.5274581509,Fear,High Activity,High Volatility,High Volatility,High Volatility
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-10-27,52215.729448,51478.504979,763,2941.8256880733943,0.4744429882044561,0.0,737.224469,Greed,Low Activity,High Volatility,High Volatility,High Volatility
